Date,Open,High,Low,Close,Adj Close,Volume
2014-06-17,143.009995,143.990005,142.639999,143.690002,126.359230,1209400
2014-06-18,143.929993,144.389999,142.770004,144.330002,126.922089,1340700
2014-06-19,144.529999,144.720001,143.990005,144.490005,127.062790,1560500
2014-06-20,144.539993,145.300003,144.199997,145.160004,127.651962,4204600
2014-06-23,145.100006,145.300003,144.009995,144.089996,126.710999,1390200
2014-06-24,143.710007,144.619995,143.050003,143.089996,125.831604,1404500
2014-06-25,143.000000,144.380005,142.880005,143.649994,126.324097,1321800
2014-06-26,143.750000,143.990005,142.559998,143.729996,126.394440,1490900
2014-06-27,143.169998,144.070007,143.059998,143.690002,126.359230,1981800
2014-06-30,143.919998,143.929993,143.059998,143.240005,125.963516,1878400
2014-07-01,143.410004,144.820007,143.380005,144.559998,127.124306,1767600
2014-07-02,144.229996,145.300003,143.559998,145.229996,127.713478,1621300
2014-07-03,145.250000,145.729996,145.000000,145.410004,127.871758,1142200
2014-07-07,145.479996,145.580002,144.500000,144.910004,127.432114,1257900
2014-07-08,145.220001,145.399994,144.479996,144.559998,127.124306,1596700
2014-07-09,144.779999,145.039993,144.029999,144.679993,127.229820,1521800
2014-07-10,143.500000,144.199997,143.240005,143.889999,126.535095,2070100
2014-07-11,144.139999,144.490005,143.539993,144.309998,126.904472,1907900
2014-07-14,144.990005,145.710007,144.750000,145.000000,127.511208,2114600
2014-07-15,145.000000,145.479996,144.360001,145.059998,127.563995,1955700
2014-07-16,145.279999,146.250000,145.029999,146.169998,128.540131,1969200
2014-07-17,145.330002,145.669998,143.449997,143.539993,126.227341,2776500
2014-07-18,143.830002,145.059998,143.539993,144.830002,127.361778,2133000
2014-07-21,144.660004,144.869995,143.649994,144.300003,126.895691,1520900
2014-07-22,144.889999,145.669998,144.889999,145.119995,127.616798,1608200
2014-07-23,145.339996,145.449997,144.529999,144.679993,127.229820,1849400
2014-07-24,145.509995,146.429993,144.470001,145.130005,127.625587,2580000
2014-07-25,145.660004,145.940002,144.589996,145.119995,127.616798,1601800
2014-07-28,144.919998,145.630005,143.779999,145.529999,127.977318,2002200
2014-07-29,145.220001,146.270004,143.990005,144.020004,126.649475,2286600
2014-07-30,144.259995,144.779999,143.520004,143.740005,126.403244,2458400
2014-07-31,143.330002,143.550003,140.600006,140.889999,123.896950,3571100
2014-08-01,140.149994,141.039993,139.080002,140.110001,123.211044,2505800
2014-08-04,140.149994,140.979996,139.210007,140.750000,123.773857,2494500
2014-08-05,140.619995,141.119995,139.339996,139.779999,122.920822,2168500
2014-08-06,139.139999,139.940002,138.429993,139.550003,122.718590,2679000
2014-08-07,140.050003,140.369995,138.960007,139.130005,122.349236,1892500
2014-08-08,139.300003,140.889999,138.889999,140.850006,123.861824,2702600
2014-08-11,140.929993,141.500000,140.539993,140.580002,123.624359,1919100
2014-08-12,140.619995,141.210007,140.429993,140.880005,123.888176,2176100
2014-08-13,141.350006,141.830002,140.919998,141.800003,124.697235,3104300
2014-08-14,142.000000,142.389999,141.850006,142.339996,125.172089,1586900
2014-08-15,142.809998,142.979996,141.020004,141.919998,124.802734,1960900
2014-08-18,142.750000,144.190002,142.589996,144.119995,126.737389,1852900
2014-08-19,144.470001,145.009995,143.809998,144.250000,126.851715,1592500
2014-08-20,143.860001,144.820007,143.500000,144.600006,127.917648,2298800
2014-08-21,144.779999,144.990005,144.350006,144.500000,127.829231,1475800
2014-08-22,144.500000,144.830002,144.020004,144.130005,127.501907,1547500
2014-08-25,144.660004,144.990005,144.419998,144.699997,128.006180,1012900
2014-08-26,145.000000,145.389999,144.570007,144.600006,127.917648,1808100
2014-08-27,144.429993,144.860001,143.630005,143.940002,127.333847,1402200
2014-08-28,143.320007,144.119995,143.020004,143.979996,127.369209,1314100
2014-08-29,144.059998,144.389999,143.179993,144.000000,127.386879,1537800
2014-09-02,143.300003,144.610001,143.300003,144.220001,127.581543,1578800
2014-09-03,144.470001,144.720001,143.550003,143.820007,127.227684,1533600
2014-09-04,144.210007,144.649994,143.350006,143.610001,127.041916,1549800
2014-09-05,143.639999,144.320007,143.149994,144.199997,127.563858,1989100
2014-09-08,144.410004,145.449997,144.110001,144.889999,128.174240,2446100
2014-09-09,144.699997,145.259995,144.250000,144.460007,127.793854,1745400
2014-09-10,144.630005,144.990005,144.000000,144.639999,127.953064,1558800
2014-09-11,143.990005,144.380005,143.600006,144.350006,127.696503,1465400
2014-09-12,144.449997,144.449997,143.500000,143.940002,127.333847,2135400
2014-09-15,144.169998,144.690002,143.660004,144.479996,127.811546,1868000
2014-09-16,143.800003,144.990005,143.589996,144.850006,128.138840,1945100
2014-09-17,144.919998,145.789993,144.270004,145.369995,128.598862,2757000
2014-09-18,145.699997,147.059998,145.690002,146.839996,129.899261,2364800
2014-09-19,147.419998,147.869995,146.520004,146.690002,129.766586,8106200
2014-09-22,146.919998,147.000000,145.500000,145.710007,128.899628,2231000
2014-09-23,145.229996,145.600006,144.350006,144.369995,127.714233,2049700
2014-09-24,144.169998,145.119995,143.720001,144.880005,128.165436,2608200
2014-09-25,144.410004,144.460007,142.070007,142.479996,126.042297,2764200
2014-09-26,142.520004,142.889999,140.979996,142.419998,125.989212,3557700
2014-09-29,140.940002,142.339996,140.660004,142.190002,125.785690,2848300
2014-09-30,142.500000,142.899994,141.279999,141.679993,125.334549,2675100
2014-10-01,141.160004,141.669998,138.720001,139.179993,123.122925,2925900
2014-10-02,138.570007,139.320007,137.949997,138.669998,122.671829,3221300
2014-10-03,139.330002,140.449997,138.570007,140.169998,123.998756,3514100
2014-10-06,140.550003,141.279999,139.589996,140.339996,124.149170,2464700
2014-10-07,138.820007,140.179993,137.660004,137.679993,121.796043,3144900
2014-10-08,138.250000,141.479996,137.720001,141.410004,125.095718,4135500
2014-10-09,141.149994,141.500000,138.330002,138.639999,122.645325,3768000
2014-10-10,139.330002,139.600006,133.820007,133.830002,118.390228,7366500
2014-10-13,134.259995,135.350006,131.009995,132.899994,117.567497,4583400
2014-10-14,133.649994,135.940002,133.210007,134.179993,118.699829,3644300
2014-10-15,132.559998,134.639999,130.600006,134.220001,118.735214,4794700
2014-10-16,133.419998,135.970001,132.750000,135.050003,119.469467,3497200
2014-10-17,135.750000,137.850006,135.750000,137.399994,121.548325,3746400
2014-10-20,137.149994,137.750000,136.759995,137.600006,121.725296,2782500
2014-10-21,138.399994,141.100006,138.339996,140.929993,124.671104,3078400
2014-10-22,140.899994,141.089996,138.699997,138.949997,122.919533,4294300
2014-10-23,141.919998,147.919998,141.919998,145.050003,128.315781,7424400
2014-10-24,145.000000,148.789993,144.809998,148.589996,131.447403,4480900
2014-10-27,148.089996,149.710007,147.339996,149.559998,132.305435,2840000
2014-10-28,149.830002,151.130005,149.559998,151.059998,133.632401,2358800
2014-10-29,151.389999,151.729996,150.199997,151.009995,133.588181,2060600
2014-10-30,150.490005,152.399994,150.000000,152.100006,134.552414,1836500
2014-10-31,153.830002,154.440002,153.089996,153.770004,136.029785,3016300
2014-11-03,153.139999,154.389999,152.979996,153.300003,135.613983,2367500
2014-11-04,153.919998,155.229996,153.240005,155.050003,137.162048,3128600
