iter	Passed	Remaining
0	51	5064
1	72	3539
2	92	2992
3	114	2748
4	135	2575
5	155	2439
6	177	2354
7	198	2278
8	219	2214
9	240	2164
10	263	2132
11	284	2085
12	305	2044
13	326	2004
14	349	1977
15	370	1946
16	392	1917
17	452	2061
18	497	2123
19	534	2137
20	573	2158
21	598	2122
22	611	2045
23	627	1986
24	639	1918
25	651	1855
26	663	1793
27	675	1736
28	687	1683
29	702	1639
30	718	1599
31	732	1557
32	749	1520
33	762	1479
34	774	1437
35	787	1399
36	799	1362
37	811	1324
38	823	1288
39	836	1254
40	848	1220
41	864	1193
42	878	1164
43	890	1133
44	904	1105
45	921	1082
46	936	1056
47	949	1028
48	972	1011
49	984	984
50	998	958
51	1010	932
52	1032	916
53	1054	898
54	1077	881
55	1098	863
56	1121	846
57	1144	828
58	1165	809
59	1188	792
60	1211	774
61	1239	759
62	1269	745
63	1286	723
64	1301	700
65	1316	678
66	1334	657
67	1355	638
68	1372	616
69	1387	594
70	1403	573
71	1419	551
72	1436	531
73	1450	509
74	1463	487
75	1475	465
76	1487	444
77	1499	423
78	1513	402
79	1540	385
80	1586	372
81	1618	355
82	1654	338
83	1672	318
84	1688	297
85	1702	277
86	1715	256
87	1728	235
88	1747	215
89	1768	196
90	1784	176
91	1798	156
92	1812	136
93	1825	116
94	1839	96
95	1854	77
96	1868	57
97	1881	38
98	1898	19
99	1914	0
