iter	Accuracy	Logloss
0	0.835016835	0.6294175273
1	0.8164983165	0.6009784687
2	0.82996633	0.560975699
3	0.8316498316	0.5364102625
4	0.8316498316	0.5097896978
5	0.82996633	0.496687314
6	0.82996633	0.4777083889
7	0.8316498316	0.474070393
8	0.8282828283	0.4592229414
9	0.8316498316	0.4479604521
10	0.82996633	0.4366301897
11	0.82996633	0.4293944269
12	0.82996633	0.4239130236
13	0.8316498316	0.4155465989
14	0.835016835	0.4107613941
15	0.8400673401	0.4073387237
16	0.8417508418	0.4054642007
17	0.8451178451	0.3985944769
18	0.8451178451	0.3982207828
19	0.8434343434	0.3972936095
20	0.8468013468	0.3960316295
21	0.8451178451	0.3945041657
22	0.8451178451	0.3921136698
23	0.8484848485	0.3911371071
24	0.8451178451	0.3888349936
25	0.8451178451	0.3885432795
26	0.8434343434	0.386603607
27	0.8434343434	0.3865256905
28	0.8417508418	0.3857934193
29	0.8434343434	0.3853627593
30	0.8468013468	0.3821205613
31	0.8468013468	0.3804867017
32	0.8484848485	0.3785616332
33	0.8468013468	0.3782225159
34	0.8501683502	0.3756826909
35	0.8484848485	0.375435621
36	0.8501683502	0.3741570286
37	0.8501683502	0.3732245917
38	0.8468013468	0.3730699071
39	0.8484848485	0.3727041042
40	0.8518518519	0.3711731103
41	0.8535353535	0.3684466386
42	0.8552188552	0.3682783985
43	0.8535353535	0.3670020442
44	0.8535353535	0.3667533286
45	0.8501683502	0.3647047455
46	0.8501683502	0.364697655
47	0.8501683502	0.363535701
48	0.8535353535	0.3633577067
49	0.8518518519	0.3632061089
50	0.8535353535	0.3629850784
51	0.8569023569	0.359148513
52	0.8569023569	0.3589868522
53	0.8569023569	0.3573652628
54	0.8569023569	0.3570452158
55	0.8569023569	0.3558248642
56	0.8552188552	0.3546913693
57	0.8585858586	0.3525234619
58	0.8585858586	0.3524587986
59	0.8585858586	0.3513470631
60	0.8585858586	0.3511108458
61	0.8585858586	0.3509411727
62	0.8585858586	0.3502669772
63	0.8585858586	0.3497092489
64	0.861952862	0.3485557179
65	0.861952862	0.3485258564
66	0.8602693603	0.3482214399
67	0.8602693603	0.3460762856
68	0.8602693603	0.3460303944
69	0.861952862	0.344834061
70	0.861952862	0.3440912274
71	0.861952862	0.3440746101
72	0.8653198653	0.342437217
73	0.8636363636	0.3423297596
74	0.867003367	0.3402491343
75	0.867003367	0.3400513306
76	0.867003367	0.339951827
77	0.867003367	0.3399409929
78	0.867003367	0.3387883653
79	0.8686868687	0.3384894281
80	0.8686868687	0.3371077975
81	0.8720538721	0.3358282607
82	0.8737373737	0.3354840208
83	0.8720538721	0.3352439716
84	0.8754208754	0.3344570605
85	0.8771043771	0.332816133
86	0.8771043771	0.33179157
87	0.8754208754	0.3305880946
88	0.8754208754	0.3300861879
89	0.8771043771	0.3279220271
90	0.8787878788	0.3271996542
91	0.8754208754	0.3237304867
92	0.8771043771	0.3220865842
93	0.8787878788	0.3215191973
94	0.8804713805	0.3208819477
95	0.8804713805	0.3201137055
96	0.8821548822	0.3192425645
97	0.8821548822	0.3176389569
98	0.8855218855	0.3165632822
99	0.8872053872	0.3155485754
100	0.8872053872	0.3145909173
101	0.8855218855	0.313857689
102	0.8855218855	0.3133428893
103	0.8855218855	0.3128709526
104	0.8855218855	0.3121017947
105	0.8872053872	0.3094998424
106	0.8872053872	0.3090748879
107	0.8888888889	0.3085341672
108	0.8872053872	0.3082731366
109	0.8888888889	0.3065792003
110	0.8905723906	0.3055987036
111	0.8905723906	0.3054942404
112	0.8905723906	0.3041475403
113	0.8922558923	0.3036066511
114	0.8956228956	0.3023557586
115	0.8956228956	0.3015811221
116	0.8956228956	0.3010689764
117	0.8956228956	0.2992489948
118	0.8956228956	0.2970527705
119	0.8973063973	0.2964288271
120	0.8956228956	0.2960274501
121	0.8973063973	0.2952942786
122	0.898989899	0.2951017912
123	0.898989899	0.2945843343
124	0.9006734007	0.292515987
125	0.898989899	0.2916599933
126	0.9006734007	0.2908353927
127	0.9006734007	0.290091387
128	0.898989899	0.2897427598
129	0.898989899	0.2890586063
130	0.9006734007	0.2873835175
131	0.9006734007	0.2860659681
132	0.9006734007	0.2844123351
133	0.9006734007	0.2837200053
134	0.9006734007	0.2814147194
135	0.9006734007	0.280669907
136	0.898989899	0.2793177208
137	0.898989899	0.2791778515
138	0.904040404	0.2769290624
139	0.904040404	0.2767384916
140	0.9057239057	0.2762831963
141	0.9057239057	0.2748289897
142	0.9074074074	0.2735587216
143	0.9074074074	0.2729396228
144	0.9074074074	0.2728584086
145	0.9090909091	0.2722057424
146	0.9090909091	0.2710197385
147	0.9090909091	0.2708782214
148	0.9090909091	0.270616613
149	0.9090909091	0.2700956198
150	0.9090909091	0.2697166697
151	0.9090909091	0.2688254976
152	0.9057239057	0.2663649584
153	0.9074074074	0.2655859537
154	0.9074074074	0.2641212623
155	0.9074074074	0.2626624502
156	0.9074074074	0.2623290656
157	0.9074074074	0.2622266637
158	0.9074074074	0.2620520568
159	0.9074074074	0.2614144056
160	0.9074074074	0.2611236929
161	0.9074074074	0.2608632647
162	0.9090909091	0.2604818119
163	0.9124579125	0.2596406454
164	0.9090909091	0.2589044897
165	0.9090909091	0.2583902351
166	0.9107744108	0.2573795922
167	0.9107744108	0.2568602142
168	0.9107744108	0.2567003344
169	0.9090909091	0.2558800387
170	0.9107744108	0.2555253502
171	0.9107744108	0.2554585657
172	0.9107744108	0.2550660801
173	0.9107744108	0.254965548
174	0.9124579125	0.2545243275
175	0.9124579125	0.2543334279
176	0.9124579125	0.2541054535
177	0.9158249158	0.2524427472
178	0.9158249158	0.2520274202
179	0.9158249158	0.2510069136
180	0.9158249158	0.250463389
181	0.9158249158	0.2494873471
182	0.9141414141	0.2490840521
183	0.9158249158	0.2489302086
184	0.9158249158	0.2488685877
185	0.9175084175	0.247772519
186	0.9175084175	0.2477314614
187	0.9175084175	0.2462172561
188	0.9175084175	0.2461197967
189	0.9175084175	0.2458629876
190	0.9158249158	0.2451164874
191	0.9158249158	0.2444955068
192	0.9175084175	0.2431472609
193	0.9175084175	0.2430154247
194	0.9175084175	0.2429599627
195	0.9175084175	0.2422092594
196	0.9175084175	0.2421026876
197	0.9191919192	0.2412751071
198	0.9208754209	0.2410592277
199	0.9191919192	0.2395226604
200	0.9208754209	0.2391349007
201	0.9225589226	0.2386804336
202	0.9242424242	0.2384756198
203	0.9242424242	0.2381669283
204	0.9242424242	0.2381407648
205	0.9242424242	0.237205989
206	0.9225589226	0.2361141751
207	0.9242424242	0.2357498433
208	0.9242424242	0.2356932338
209	0.9242424242	0.2349644657
210	0.9242424242	0.2348833381
211	0.9259259259	0.2342680396
212	0.9259259259	0.2341794709
213	0.9259259259	0.2327694644
214	0.9259259259	0.232539009
215	0.9276094276	0.2320533597
216	0.9276094276	0.2316169453
217	0.9276094276	0.2314241253
218	0.9276094276	0.2312382625
219	0.9276094276	0.2307298578
220	0.9292929293	0.2295112387
221	0.9292929293	0.2292997582
222	0.9292929293	0.2288257212
223	0.930976431	0.2282530475
224	0.9292929293	0.2276159534
225	0.9292929293	0.2267324528
226	0.9292929293	0.2263038336
227	0.9292929293	0.225653251
228	0.9292929293	0.224921242
229	0.930976431	0.2240634314
230	0.9326599327	0.2226157649
231	0.9343434343	0.222511904
232	0.9343434343	0.2221973142
233	0.936026936	0.2214362839
234	0.9343434343	0.2208013934
235	0.9343434343	0.2207655029
236	0.9343434343	0.2207386943
237	0.9343434343	0.2198046542
238	0.9326599327	0.2193071618
239	0.9326599327	0.218918435
240	0.9343434343	0.2182357105
241	0.936026936	0.2179188842
242	0.936026936	0.2178603306
243	0.936026936	0.2177821585
244	0.936026936	0.2175981032
245	0.936026936	0.2175258438
246	0.936026936	0.2174052962
247	0.936026936	0.2173576125
248	0.936026936	0.2169914968
249	0.936026936	0.2169519109
250	0.9377104377	0.2153554262
251	0.9410774411	0.2139016182
252	0.9410774411	0.2134252955
