iter	Passed	Remaining
0	122	61315
1	178	44553
2	259	42915
3	348	43232
4	420	41625
5	503	41428
6	570	40151
7	625	38487
8	695	37957
9	766	37574
10	842	37434
11	920	37443
12	993	37229
13	1062	36868
14	1122	36300
15	1206	36485
16	1298	36889
17	1362	36482
18	1429	36184
19	1510	36262
20	1590	36289
21	1688	36692
22	1805	37450
23	1887	37443
24	2038	38738
25	2125	38756
26	2198	38508
27	2243	37822
28	2317	37645
29	2391	37468
30	2491	37692
31	2593	37932
32	2679	37913
33	2727	37389
34	2800	37209
35	2864	36914
36	2928	36651
37	2978	36214
38	3035	35884
39	3090	35543
40	3165	35435
41	3237	35302
42	3307	35153
43	3384	35079
44	3462	35006
45	3535	34894
46	3601	34716
47	3690	34754
48	3764	34647
49	3810	34297
50	3867	34050
51	3939	33941
52	4004	33770
53	4069	33609
54	4150	33578
55	4213	33404
56	4282	33287
57	4343	33097
58	4406	32936
59	4475	32818
60	4547	32727
61	4622	32654
62	4689	32530
63	4750	32360
64	4815	32227
65	4883	32114
66	4954	32019
67	5027	31939
68	5100	31857
69	5163	31720
70	5244	31686
71	5301	31514
72	5388	31516
73	5465	31466
74	5551	31457
75	5621	31363
76	5676	31182
77	5774	31243
78	5845	31152
79	5919	31078
80	6016	31120
81	6096	31077
82	6166	30980
83	6252	30965
84	6333	30923
85	6393	30776
86	6478	30755
87	6566	30741
88	6642	30674
89	6732	30669
90	6825	30675
91	6921	30695
92	7017	30709
93	7099	30665
94	7185	30634
95	7263	30568
96	7348	30531
97	7436	30502
98	7521	30467
99	7601	30406
100	7689	30376
101	7773	30333
102	7856	30283
103	7941	30239
104	8025	30192
105	8111	30149
106	8180	30045
107	8259	29977
108	8342	29924
109	8427	29878
110	8510	29824
111	8590	29758
112	8679	29724
113	8763	29672
114	8847	29620
115	8933	29573
116	9014	29509
117	9097	29452
118	9184	29404
119	9270	29357
120	9357	29309
121	9441	29254
122	9524	29192
123	9609	29139
124	9696	29089
125	9782	29037
126	9869	28987
127	9958	28942
128	10038	28869
129	10121	28807
130	10204	28745
131	10290	28689
132	10372	28621
133	10459	28569
134	10548	28519
135	10640	28479
136	10740	28459
137	10833	28417
138	10932	28392
139	11033	28372
140	11121	28316
141	11207	28255
142	11292	28191
143	11401	28186
144	11522	28210
145	11655	28259
146	11784	28298
147	11905	28316
148	11990	28246
149	12081	28190
150	12169	28126
151	12251	28049
152	12366	28045
153	12454	27982
154	12553	27942
155	12656	27909
156	12743	27840
157	12836	27785
158	12971	27819
159	13103	27844
160	13238	27875
161	13358	27870
162	13444	27796
163	13529	27719
164	13614	27641
165	13696	27558
166	13814	27545
167	13941	27551
168	14070	27558
169	14197	27560
170	14343	27596
171	14450	27556
172	14540	27483
173	14623	27398
174	14708	27315
175	14810	27265
176	14935	27254
177	15086	27290
178	15211	27279
179	15370	27325
180	15485	27291
181	15575	27213
182	15651	27112
183	15741	27034
184	15828	26951
185	15915	26867
186	15990	26764
187	16086	26696
188	16185	26633
189	16277	26557
190	16359	26466
191	16445	26380
192	16526	26287
193	16612	26203
194	16688	26102
195	16773	26015
196	16854	25923
197	16943	25842
198	17026	25754
199	17107	25661
200	17193	25576
201	17279	25491
202	17363	25404
203	17446	25315
204	17528	25223
205	17616	25142
206	17701	25055
207	17785	24968
208	17903	24927
209	18036	24908
210	18171	24889
211	18306	24868
212	18438	24844
213	18567	24814
214	18696	24783
215	18803	24722
216	18886	24631
217	18969	24538
218	19048	24441
219	19149	24371
220	19236	24285
221	19332	24208
222	19422	24125
223	19514	24045
224	19598	23953
225	19687	23868
226	19773	23780
227	19858	23690
228	19940	23597
229	20023	23506
230	20103	23410
231	20180	23312
232	20269	23227
233	20350	23133
234	20425	23033
235	20512	22946
236	20597	22857
237	20680	22765
238	20767	22679
239	20855	22593
240	20942	22506
241	21024	22414
242	21105	22321
243	21190	22232
244	21273	22142
245	21355	22050
246	21437	21958
247	21519	21866
248	21603	21776
249	21690	21690
250	21777	21604
251	21860	21513
252	21944	21424
253	22028	21334
254	22111	21244
255	22194	21153
256	22292	21077
257	22373	20986
258	22458	20897
259	22541	20807
260	22626	20719
261	22706	20626
262	22791	20538
263	22878	20452
264	22963	20363
265	23048	20276
266	23136	20190
267	23218	20099
268	23307	20014
269	23393	19927
270	23500	19858
271	23584	19769
272	23670	19681
273	23757	19596
274	23845	19509
275	23932	19423
276	24015	19334
277	24096	19242
278	24183	19156
279	24273	19071
280	24352	18978
281	24437	18891
282	24523	18804
283	24632	18734
284	24775	18690
285	24861	18602
286	24945	18513
287	25038	18431
288	25167	18374
289	25282	18307
290	25367	18219
291	25460	18136
292	25552	18052
293	25638	17964
294	25726	17877
295	25852	17817
296	25950	17737
297	26042	17653
298	26131	17566
299	26224	17483
300	26306	17392
301	26458	17347
302	26546	17259
303	26634	17172
304	26724	17086
305	26811	16998
306	26894	16907
307	26979	16818
308	27068	16731
309	27150	16640
310	27239	16553
311	27323	16464
312	27408	16375
313	27492	16285
314	27580	16198
315	27660	16106
316	27749	16019
317	27835	15931
318	27916	15839
319	28002	15751
320	28091	15664
321	28175	15575
322	28263	15488
323	28346	15398
324	28426	15306
325	28510	15217
326	28589	15125
327	28674	15036
328	28761	14948
329	28847	14860
330	28927	14769
331	29011	14680
332	29099	14593
333	29174	14499
334	29260	14411
335	29350	14325
336	29430	14235
337	29509	14143
338	29595	14055
339	29685	13969
340	29772	13882
341	29852	13791
342	29938	13703
343	30023	13615
344	30106	13526
345	30187	13436
346	30273	13348
347	30360	13260
348	30449	13174
349	30532	13085
350	30621	12998
351	30707	12911
352	30789	12821
353	30866	12730
354	30954	12643
355	31040	12555
356	31120	12465
357	31209	12379
358	31292	12290
359	31378	12202
360	31469	12116
361	31556	12029
362	31640	11941
363	31726	11853
364	31816	11767
365	31904	11680
366	31986	11591
367	32075	11505
368	32159	11417
369	32242	11328
370	32325	11239
371	32411	11152
372	32499	11065
373	32585	10977
374	32671	10890
375	32755	10802
376	32840	10714
377	32919	10624
378	32998	10535
379	33082	10447
380	33169	10359
381	33249	10270
382	33330	10181
383	33415	10094
384	33500	10006
385	33581	9917
386	33668	9830
387	33756	9744
388	33845	9657
389	33924	9568
390	34007	9480
391	34090	9392
392	34175	9304
393	34272	9220
394	34352	9131
395	34433	9043
396	34517	8955
397	34602	8867
398	34687	8780
399	34771	8692
400	34854	8604
401	34937	8517
402	35018	8428
403	35101	8341
404	35184	8253
405	35264	8164
406	35348	8077
407	35427	7988
408	35512	7901
409	35595	7813
410	35687	7727
411	35766	7639
412	35845	7550
413	35930	7463
414	36015	7376
415	36103	7290
416	36191	7203
417	36277	7116
418	36363	7029
419	36446	6942
420	36531	6855
421	36615	6767
422	36697	6680
423	36785	6593
424	36871	6506
425	36954	6419
426	37039	6332
427	37126	6245
428	37203	6157
429	37291	6070
430	37378	5983
431	37465	5897
432	37548	5810
433	37634	5723
434	37719	5636
435	37803	5549
436	37889	5462
437	37975	5375
438	38057	5288
439	38135	5200
440	38222	5113
441	38304	5026
442	38385	4938
443	38472	4852
444	38558	4765
445	38645	4679
446	38729	4592
447	38815	4505
448	38898	4418
449	38983	4331
450	39063	4244
451	39150	4157
452	39235	4070
453	39320	3983
454	39406	3897
455	39498	3811
456	39595	3725
457	39682	3639
458	39774	3552
459	39848	3465
460	39928	3377
461	40016	3291
462	40100	3204
463	40186	3117
464	40272	3031
465	40357	2944
466	40443	2857
467	40530	2771
468	40613	2684
469	40698	2597
470	40782	2511
471	40869	2424
472	40952	2337
473	41040	2251
474	41123	2164
475	41214	2078
476	41296	1991
477	41384	1904
478	41474	1818
479	41559	1731
480	41642	1644
481	41756	1559
482	41836	1472
483	41919	1385
484	42006	1299
485	42089	1212
486	42169	1125
487	42258	1039
488	42344	952
489	42431	865
490	42511	779
491	42598	692
492	42689	606
493	42772	519
494	42857	432
495	42942	346
496	43020	259
497	43100	173
498	43184	86
499	43265	0
