iter	RMSE
0	210.731368
1	206.6912004
2	202.746712
3	198.9679059
4	195.2307789
5	191.6904243
6	188.1918191
7	184.8629783
8	181.6186253
9	178.5022028
10	175.4702844
11	172.538871
12	169.6632205
13	166.9273736
14	164.2072277
15	161.5789083
16	159.0078505
17	156.5298797
18	154.106263
19	151.7515247
20	149.4533642
21	147.2587426
22	145.1206174
23	143.0504903
24	140.991486
25	139.0179375
26	137.1183704
27	135.2083578
28	133.3764176
29	131.558641
30	129.8059212
31	128.083195
32	126.4595213
33	124.8522439
34	123.2760389
35	121.7440443
36	120.2638212
37	118.8259207
38	117.4093712
39	116.0144227
40	114.6655827
41	113.3564653
42	112.0588294
43	110.7557655
44	109.523911
45	108.3448116
46	107.1496929
47	105.9598091
48	104.8465819
49	103.7252171
50	102.6398729
51	101.5666017
52	100.5297919
53	99.49101375
54	98.49430202
55	97.49954639
56	96.53376606
57	95.59438183
58	94.66516718
59	93.71922037
60	92.81663127
61	91.90913356
62	91.03587925
63	90.1885969
64	89.35308991
65	88.52844762
66	87.72063808
67	86.92725466
68	86.14284957
69	85.39015429
70	84.63857476
71	83.89949889
72	83.17972458
73	82.47269764
74	81.77473071
75	81.06473532
76	80.36951702
77	79.68282412
78	79.02006254
79	78.36596533
80	77.72871096
81	77.11002811
82	76.50675373
83	75.89470706
84	75.28211992
85	74.70479196
86	74.10201647
87	73.50932809
88	72.94044336
89	72.37839306
90	71.8220761
91	71.29321767
92	70.74289871
93	70.20718375
94	69.65938877
95	69.14314664
96	68.63400616
97	68.13319487
98	67.62833394
99	67.13647983
