iter	Passed	Remaining
0	38	19382
1	77	19332
2	100	16614
3	120	14891
4	142	14072
5	169	13983
6	195	13795
7	222	13688
8	249	13620
9	331	16239
10	372	16565
11	401	16316
12	429	16100
13	459	15934
14	481	15557
15	495	14976
16	522	14837
17	553	14812
18	569	14428
19	586	14086
20	614	14012
21	641	13941
22	667	13834
23	686	13615
24	716	13617
25	740	13497
26	762	13366
27	788	13290
28	818	13301
29	852	13352
30	883	13373
31	911	13324
32	926	13114
33	953	13069
34	980	13024
35	1002	12919
36	1021	12778
37	1041	12657
38	1068	12625
39	1102	12679
40	1117	12505
41	1137	12399
42	1150	12227
43	1166	12084
44	1182	11952
45	1200	11850
46	1213	11692
47	1227	11558
48	1257	11577
49	1271	11446
50	1282	11290
51	1299	11198
52	1328	11208
53	1366	11287
54	1403	11359
55	1455	11542
56	1495	11623
57	1528	11646
58	1555	11625
59	1573	11537
60	1601	11526
61	1618	11433
62	1636	11348
63	1658	11300
64	1677	11227
65	1693	11138
66	1711	11059
67	1722	10942
68	1739	10863
69	1759	10805
70	1774	10720
71	1804	10725
72	1824	10672
73	1850	10652
74	1880	10657
75	1897	10588
76	1915	10520
77	1930	10446
78	1950	10396
79	1969	10338
80	1990	10294
81	2012	10258
82	2039	10245
83	2070	10254
84	2099	10248
85	2114	10178
86	2139	10157
87	2172	10170
88	2203	10174
89	2234	10180
90	2257	10147
91	2285	10135
92	2317	10143
93	2335	10089
94	2378	10139
95	2418	10176
96	2465	10245
97	2530	10379
98	2574	10427
99	2617	10468
100	2671	10551
101	2711	10579
102	2789	10752
103	2877	10957
104	2963	11147
105	3032	11269
106	3082	11322
107	3149	11431
108	3198	11474
109	3256	11547
110	3310	11601
111	3353	11618
112	3413	11688
113	3447	11671
114	3484	11665
115	3544	11733
116	3594	11766
117	3660	11849
118	3701	11851
119	3734	11825
120	3764	11790
121	3795	11758
122	3822	11715
123	3845	11659
124	3876	11628
125	3905	11591
126	3937	11565
127	3969	11536
128	4010	11534
129	4033	11480
130	4060	11437
131	4089	11402
132	4122	11375
133	4163	11371
134	4215	11396
135	4244	11359
136	4272	11321
137	4296	11269
138	4324	11230
139	4347	11178
140	4368	11122
141	4399	11091
142	4430	11060
143	4457	11018
144	4479	10967
145	4508	10931
146	4538	10899
147	4568	10866
148	4598	10832
149	4627	10798
150	4657	10764
151	4686	10729
152	4707	10675
153	4758	10690
154	4859	10815
155	4914	10837
156	4976	10872
157	5025	10877
158	5068	10870
159	5113	10866
160	5145	10833
161	5175	10799
162	5202	10756
163	5223	10702
164	5253	10665
165	5282	10628
166	5315	10599
167	5344	10562
168	5374	10526
169	5403	10489
170	5435	10457
171	5464	10420
172	5494	10385
173	5522	10346
174	5545	10299
175	5576	10266
176	5606	10231
177	5639	10202
178	5672	10172
179	5705	10142
180	5734	10106
181	5763	10070
182	5795	10038
183	5822	9998
184	5844	9951
185	5867	9905
186	5899	9874
187	5928	9839
188	5960	9807
189	5985	9765
190	6007	9719
191	6038	9686
192	6068	9652
193	6098	9619
194	6127	9584
195	6161	9556
196	6190	9522
197	6219	9485
198	6248	9451
199	6278	9417
200	6306	9381
201	6328	9336
202	6356	9299
203	6377	9253
204	6409	9223
205	6441	9193
206	6467	9154
207	6489	9110
208	6522	9081
209	6551	9046
210	6572	9001
211	6602	8969
212	6632	8936
213	6664	8907
214	6693	8872
215	6716	8831
216	6738	8788
217	6760	8745
218	6782	8702
219	6814	8672
220	6840	8635
221	6862	8593
222	6911	8584
223	6958	8573
224	7018	8578
225	7070	8572
226	7104	8543
227	7134	8511
228	7165	8480
229	7197	8448
230	7226	8415
231	7256	8382
232	7285	8348
233	7316	8316
234	7346	8284
235	7379	8254
236	7404	8216
237	7425	8174
238	7447	8132
239	7479	8102
240	7509	8070
241	7535	8033
242	7557	7992
243	7587	7960
244	7613	7924
245	7634	7882
246	7667	7854
247	7689	7813
248	7712	7774
249	7736	7736
250	7767	7705
251	7796	7672
252	7822	7637
253	7843	7596
254	7874	7565
255	7904	7534
256	7936	7503
257	7964	7470
258	7991	7435
259	8010	7394
260	8039	7361
261	8069	7330
262	8100	7299
263	8130	7268
264	8161	7237
265	8192	7207
266	8220	7173
267	8240	7133
268	8264	7097
269	8289	7061
270	8317	7028
271	8347	6997
272	8378	6966
273	8409	6936
274	8438	6904
275	8459	6865
276	8488	6834
277	8518	6802
278	8547	6770
279	8576	6738
280	8606	6707
281	8637	6677
282	8668	6647
283	8700	6617
284	8728	6584
285	8757	6553
286	8787	6521
287	8812	6486
288	8838	6453
289	8862	6417
290	8883	6380
291	8908	6345
292	8940	6316
293	8974	6288
294	9000	6254
295	9021	6217
296	9052	6187
297	9075	6151
298	9103	6119
299	9133	6089
300	9164	6058
301	9194	6028
302	9219	5994
303	9241	5958
304	9270	5927
305	9302	5897
306	9331	5866
307	9360	5835
308	9390	5804
309	9417	5771
310	9438	5736
311	9462	5701
312	9495	5673
313	9524	5642
314	9550	5608
315	9568	5571
316	9596	5539
317	9617	5504
318	9648	5474
319	9680	5445
320	9710	5414
321	9740	5384
322	9768	5353
323	9798	5322
324	9828	5292
325	9853	5259
326	9875	5224
327	9898	5190
328	9920	5156
329	9944	5122
330	9973	5092
331	9999	5060
332	10029	5029
333	10054	4997
334	10081	4965
335	10114	4936
336	10144	4906
337	10176	4877
338	10206	4847
339	10239	4818
340	10264	4786
341	10285	4751
342	10306	4717
343	10340	4689
344	10367	4657
345	10394	4626
346	10422	4595
347	10452	4565
348	10481	4535
349	10511	4504
350	10541	4474
351	10567	4443
352	10593	4411
353	10618	4379
354	10644	4347
355	10675	4318
356	10705	4288
357	10734	4257
358	10764	4227
359	10794	4197
360	10817	4165
361	10843	4133
362	10874	4104
363	10907	4075
364	10936	4045
365	10960	4012
366	10983	3980
367	11005	3947
368	11042	3920
369	11072	3890
370	11101	3860
371	11132	3830
372	11163	3801
373	11189	3769
374	11209	3736
375	11241	3707
376	11271	3677
377	11296	3646
378	11318	3613
379	11342	3581
380	11370	3551
381	11398	3521
382	11426	3490
383	11447	3458
384	11480	3429
385	11510	3399
386	11540	3369
387	11570	3339
388	11601	3310
389	11631	3280
390	11661	3250
391	11691	3221
392	11721	3191
393	11753	3162
394	11783	3132
395	11809	3101
396	11832	3069
397	11869	3041
398	11906	3013
399	11936	2984
400	11960	2952
401	11994	2924
402	12027	2894
403	12064	2866
404	12095	2837
405	12130	2808
406	12161	2778
407	12200	2751
408	12236	2722
409	12266	2692
410	12296	2662
411	12325	2632
412	12349	2601
413	12376	2570
414	12410	2541
415	12441	2512
416	12468	2481
417	12495	2451
418	12522	2420
419	12568	2393
420	12624	2369
421	12690	2345
422	12724	2316
423	12782	2291
424	12922	2280
425	13012	2260
426	13073	2235
427	13135	2209
428	13184	2182
429	13248	2156
430	13284	2126
431	13333	2098
432	13372	2069
433	13404	2038
434	13434	2007
435	13463	1976
436	13488	1944
437	13514	1913
438	13547	1882
439	13577	1851
440	13608	1820
441	13638	1789
442	13667	1758
443	13699	1727
444	13728	1696
445	13757	1665
446	13787	1634
447	13817	1603
448	13846	1572
449	13879	1542
450	13916	1511
451	13952	1481
452	13989	1451
453	14026	1421
454	14061	1390
455	14115	1362
456	14178	1334
457	14247	1306
458	14297	1277
459	14337	1246
460	14392	1217
461	14460	1189
462	14525	1160
463	14588	1131
464	14643	1102
465	14691	1071
466	14753	1042
467	14830	1014
468	14908	985
469	14979	956
470	15029	925
471	15081	894
472	15106	862
473	15128	829
474	15152	797
475	15185	765
476	15215	733
477	15241	701
478	15263	669
479	15289	637
480	15312	604
481	15343	573
482	15381	541
483	15411	509
484	15442	477
485	15475	445
486	15513	414
487	15550	382
488	15584	350
489	15614	318
490	15677	287
491	15742	255
492	15810	224
493	15865	192
494	15914	160
495	15972	128
496	16030	96
497	16087	64
498	16138	32
499	16188	0
