iter	CrossEntropy	F1
0	0.6720328558	0.7376237624
1	0.6544699823	0.7438423645
2	0.6376195751	0.75
3	0.6233241868	0.7432762836
4	0.6142747489	0.7441860465
5	0.6029456493	0.7441860465
6	0.5931845669	0.7313769752
7	0.5816617087	0.7351598174
8	0.5725911302	0.7297297297
9	0.5606832793	0.7397260274
10	0.5503870393	0.7361111111
11	0.541228327	0.7361111111
12	0.5333466365	0.7361111111
13	0.5253973928	0.7395348837
14	0.5154216034	0.756501182
15	0.5075254998	0.7594339623
16	0.5011554097	0.7594339623
17	0.4946678477	0.7582938389
18	0.489132126	0.7582938389
19	0.4861023673	0.7612293144
20	0.4798293609	0.7612293144
21	0.4752274765	0.7612293144
22	0.4704001738	0.7612293144
23	0.465984482	0.7612293144
24	0.463932491	0.7600950119
25	0.462024417	0.7600950119
26	0.4581298043	0.7600950119
27	0.4533808178	0.7600950119
28	0.4499217907	0.7600950119
29	0.4491388631	0.7571428571
30	0.4477251478	0.7600950119
31	0.4463513832	0.7582938389
32	0.4454501644	0.7600950119
33	0.4421913893	0.7600950119
34	0.4412075733	0.7571428571
35	0.4390139035	0.7600950119
36	0.4372663743	0.7582938389
37	0.43245212	0.7582938389
38	0.4278369375	0.7637231504
39	0.4272401978	0.7637231504
40	0.4269053642	0.7637231504
41	0.4242116962	0.7637231504
42	0.4217809074	0.7637231504
43	0.4207290521	0.7619047619
44	0.4203275148	0.7637231504
45	0.4181927133	0.7655502392
46	0.4158001098	0.76849642
47	0.4150905206	0.7714285714
48	0.4139478106	0.76849642
49	0.4131282349	0.7714285714
50	0.4113673227	0.7714285714
51	0.4102969992	0.7714285714
52	0.4077397048	0.7714285714
53	0.4068456079	0.7714285714
54	0.406137168	0.7714285714
55	0.4058742167	0.7714285714
56	0.404848725	0.7714285714
57	0.4042159406	0.7743467933
58	0.4031716573	0.7772511845959	0.4016821991	0.780141844660	0.4010343437	0.78061	0.4461	0.4007914016	0.780162	0.462	0.4005745445	0.7801463	0.63	0.3998349521	0.78014164	064	0.3985814441	0.781990565	065	0.3983078024	0.7766	0.442066	0.3981535137	0.7767	0.441767	0.3979493367	0.7768	0.440568	0.3958197208	0.7769	0.440069	0.3955967579	0.7770	0.438870	0.3950192459	0.771	0.437171	0.3948340307	0.772	0.436072	0.3945548171	0.773	0.435773	0.3938533859	0.7874	0.43574	0.3935368689	0.78075	0.4375	0.393404291	0.7809576	0.76	0.3926276698	0.78095277	077	0.3921664691	0.782816278	078	0.3918898445	0.782816279	079	0.3918510975	0.782816280	080	0.3917073304	0.782816281	081	0.3902879129	0.782816282	082	0.3902483776	0.782816283	083	0.3902375923	0.782816284	084	0.3902317185	0.782816285	085	0.3899704877	0.784688986	086	0.3899392234	0.784688987	087	0.3898405167	0.78468888	0.88	0.3897477028	0.78468889	0.89	0.3894981584	0.78758990	0.90	0.3890301135	0.78947391	0.91	0.3886591944	0.78947392	0.92	0.3884853982	0.789493	0.4293	0.3881300974	0.78994	0.42394	0.387846246	0.789495	0.4295	0.3868749048	0.789496	0.4296	0.3867153367	0.789497	0.4297	0.3852127456	0.789498	0.4298	0.3843430396	0.789499	0.4299	0.3843221683	0.7894736842
	0.7459207459
