iter	Passed	Remaining
0	175	175375
1	302	151088
2	437	145245
3	559	139250
4	669	133224
5	785	130181
6	883	125324
7	969	120201
8	1067	117578
9	1240	122788
10	1333	119866
11	1434	118087
12	1530	116223
13	1655	116577
14	1731	113681
15	1794	110338
16	1929	111582
17	2056	112179
18	2206	113900
19	2292	112350
20	2382	111050
21	2512	111705
22	2600	110447
23	2681	109038
24	2781	108473
25	2929	109755
26	3068	110593
27	3165	109880
28	3242	108576
29	3324	107481
30	3412	106675
31	3621	109551
32	3698	108364
33	3789	107671
34	3877	106910
35	3954	105894
36	4021	104670
37	4110	104057
38	4210	103754
39	4284	102834
40	4372	102282
41	4521	103135
42	4617	102776
43	4691	101931
44	4754	100898
45	4841	100411
46	4911	99597
47	4997	99119
48	5142	99812
49	5292	100561
50	5363	99807
51	5453	99425
52	5546	99104
53	5624	98525
54	5787	99434
55	5878	99103
56	5960	98617
57	6031	97955
58	6099	97284
59	6172	96699
60	6255	96292
61	6339	95905
62	6479	96370
63	6662	97442
64	6721	96688
65	6806	96318
66	6878	95791
67	6969	95524
68	7029	94844
69	7106	94409
70	7185	94018
71	7274	93765
72	7356	93417
73	7443	93150
74	7549	93115
75	7621	92662
76	7703	92343
77	7772	91880
78	7851	91537
79	7941	91322
80	8029	91105
81	8081	90477
82	8151	90062
83	8231	89758
84	8304	89395
85	8390	89174
86	8472	88911
87	8652	89675
88	8754	89615
89	8842	89404
90	8915	89053
91	8994	88770
92	9057	88332
93	9120	87909
94	9205	87694
95	9269	87284
96	9353	87069
97	9435	86842
98	9509	86550
99	9619	86576
100	9712	86451
101	9772	86038
102	9851	85795
103	9913	85408
104	9992	85171
105	10066	84903
106	10150	84710
107	10228	84476
108	10291	84128
109	10363	83853
110	10456	83748
111	10516	83380
112	10618	83346
113	10697	83136
114	10796	83083
115	10856	82734
116	10932	82507
117	10977	82055
118	11042	81749
119	11126	81596
120	11202	81382
121	11295	81290
122	11373	81095
123	11442	80837
124	11519	80634
125	11626	80648
126	11686	80332
127	11758	80103
128	11843	79969
129	11912	79719
130	11980	79474
131	12046	79214
132	12124	79039
133	12224	79000
134	12333	79027
135	12489	79347
136	12626	79536
137	12824	80109
138	12913	79991
139	13033	80065
140	13147	80094
141	13267	80163
142	13392	80263
143	13534	80455
144	13682	80680
145	13840	80954
146	14028	81405
147	14177	81618
148	14262	81460
149	14344	81284
150	14468	81348
151	14559	81225
152	14691	81331
153	14817	81398
154	14873	81086
155	15023	81279
156	15160	81405
157	15274	81399
158	15407	81495
159	15549	81636
160	15662	81621
161	15777	81611
162	15899	81641
163	15984	81482
164	16080	81374
165	16165	81215
166	16259	81102
167	16316	80806
168	16377	80530
169	16431	80222
170	16490	79945
171	16573	79782
172	16702	79843
173	16773	79624
174	16837	79374
175	16918	79210
176	16976	78937
177	17055	78759
178	17152	78671
179	17259	78625
180	17321	78376
181	17401	78210
182	17463	77965
183	17538	77779
184	17619	77619
185	17712	77516
186	17760	77217
187	17825	76990
188	17915	76874
189	17994	76713
190	18084	76598
191	18164	76443
192	18319	76599
193	18418	76522
194	18512	76421
195	18590	76258
196	18659	76058
197	18823	76243
198	18925	76178
199	19016	76067
200	19093	75900
201	19167	75722
202	19242	75547
203	19334	75440
204	19388	75189
205	19467	75033
206	19535	74837
207	19616	74695
208	19671	74451
209	19771	74378
210	19843	74200
211	19899	73964
212	19962	73758
213	20038	73600
214	20102	73395
215	20170	73211
216	20248	73061
217	20318	72887
218	20393	72728
219	20468	72571
220	20551	72442
221	20633	72309
222	20701	72129
223	20820	72128
224	20898	71984
225	20974	71833
226	21047	71671
227	21116	71500
228	21191	71347
229	21260	71178
230	21365	71125
231	21429	70939
232	21486	70729
233	21557	70567
234	21620	70383
235	21702	70256
236	21801	70188
237	21885	70069
238	21970	69956
239	22036	69782
240	22097	69594
241	22176	69462
242	22245	69301
243	22310	69125
244	22414	69073
245	22498	68959
246	22581	68841
247	22680	68774
248	22743	68594
249	22886	68660
250	22974	68557
251	23106	68586
252	23211	68533
253	23307	68454
254	23433	68461
255	23519	68352
256	23608	68252
257	23700	68161
258	23799	68091
259	23917	68074
260	24010	67982
261	24085	67844
262	24175	67746
263	24260	67636
264	24340	67509
265	24466	67512
266	24558	67419
267	24644	67312
268	24724	67187
269	24813	67088
270	24930	67063
271	25020	66966
272	25117	66888
273	25207	66790
274	25278	66642
275	25348	66495
276	25509	66583
277	25639	66588
278	25799	66672
279	26000	66857
280	26168	66958
281	26257	66855
282	26344	66746
283	26425	66621
284	26605	66746
285	26779	66854
286	26970	67004
287	27137	67089
288	27259	67063
289	27361	66988
290	27452	66885
291	27573	66855
292	27664	66754
293	27772	66690
294	27875	66618
295	28052	66718
296	28146	66622
297	28253	66557
298	28372	66519
299	28582	66693
300	28682	66608
301	28766	66487
302	28847	66359
303	28940	66258
304	29095	66298
305	29200	66226
306	29299	66139
307	29396	66047
308	29486	65939
309	29595	65873
310	29687	65769
311	29782	65673
312	29872	65567
313	29967	65470
314	30086	65425
315	30190	65349
316	30269	65217
317	30361	65113
318	30447	64999
319	30540	64898
320	30648	64828
321	30739	64724
322	30828	64615
323	30913	64498
324	31008	64401
325	31118	64336
326	31234	64284
327	31318	64164
328	31408	64058
329	31503	63962
330	31590	63849
331	31707	63797
332	31802	63700
333	31891	63592
334	31977	63478
335	32094	63424
336	32264	63475
337	32371	63402
338	32470	63312
339	32585	63255
340	32706	63207
341	32799	63104
342	32891	63001
343	32977	62886
344	33060	62766
345	33184	62724
346	33290	62648
347	33393	62565
348	33479	62449
349	33569	62342
350	33661	62239
351	33778	62183
352	33867	62074
353	33959	61971
354	34120	61994
355	34275	62004
356	34387	61935
357	34480	61833
358	34569	61723
359	34658	61614
360	34825	61644
361	34909	61526
362	34998	61416
363	35101	61332
364	35200	61238
365	35356	61245
366	35445	61136
367	35530	61020
368	35623	60916
369	35707	60799
370	35831	60748
371	35924	60646
372	36015	60540
373	36099	60422
374	36189	60315
375	36351	60327
376	36470	60267
377	36584	60199
378	36692	60121
379	36864	60147
380	36954	60039
381	37049	59939
382	37142	59835
383	37232	59727
384	37348	59661
385	37449	59570
386	37551	59481
387	37650	59387
388	37743	59283
389	37831	59172
390	37959	59122
391	38115	59117
392	38275	59116
393	38399	59061
394	38487	58949
395	38578	58841
396	38670	58735
397	38769	58641
398	38973	58703
399	39160	58740
400	39327	58746
401	39504	58765
402	39645	58730
403	39747	58636
