iter	Passed	Remaining
0	77	77721
1	116	58098
2	156	51907
3	190	47400
4	235	46810
5	272	45151
6	305	43269
7	346	42925
8	383	42181
9	423	41972
10	524	47195
11	566	46635
12	580	44051
13	605	42611
14	637	41846
15	667	41041
16	702	40621
17	732	39983
18	759	39233
19	787	38590
20	804	37499
21	826	36730
22	850	36122
23	885	35994
24	908	35446
25	927	34739
26	947	34132
27	969	33647
28	994	33311
29	1023	33095
30	1064	33267
31	1091	33008
32	1123	32936
33	1174	33362
34	1208	33332
35	1244	33337
36	1261	32841
37	1283	32482
38	1313	32374
39	1339	32147
40	1369	32029
41	1385	31604
42	1408	31353
43	1430	31076
44	1448	30749
45	1481	30723
46	1541	31254
47	1615	32048
48	1681	32633
49	1727	32830
50	1766	32876
51	1823	33247
52	1863	33301
53	1898	33259
54	1942	33368
55	1981	33400
56	2024	33498
57	2053	33345
58	2101	33523
59	2138	33502
60	2179	33545
61	2200	33289
62	2247	33427
63	2279	33344
64	2325	33451
65	2369	33531
66	2409	33549
67	2491	34152
68	2533	34183
69	2580	34282
70	2613	34202
71	2627	33859
72	2651	33674
73	2673	33451
74	2696	33256
75	2741	33330
76	2792	33474
77	2844	33618
78	2862	33374
79	2895	33300
80	2935	33306
81	2952	33058
82	2967	32786
83	2990	32612
84	3006	32361
85	3046	32382
86	3083	32360
87	3107	32204
88	3139	32130
89	3168	32040
90	3188	31854
91	3223	31816
92	3254	31743
93	3282	31638
94	3303	31474
95	3348	31533
96	3402	31670
97	3427	31548
98	3462	31511
99	3513	31621
100	3547	31578
101	3578	31508
102	3598	31340
103	3632	31298
104	3664	31232
105	3681	31052
106	3705	30922
107	3735	30856
108	3769	30810
109	3802	30766
110	3825	30634
111	3877	30743
112	3936	30900
113	3983	30961
114	4018	30922
115	4055	30902
116	4074	30747
117	4105	30688
118	4134	30607
119	4159	30505
120	4195	30480
121	4234	30471
122	4267	30428
123	4300	30380
124	4341	30392
125	4380	30386
126	4416	30358
127	4454	30349
128	4510	30453
129	4570	30590
130	4631	30725
131	4675	30743
132	4695	30611
133	4731	30576
134	4760	30503
135	4795	30463
136	4827	30411
137	4855	30326
138	4884	30253
139	4911	30169
140	4940	30100
141	4990	30154
142	5043	30226
143	5074	30166
144	5107	30115
145	5140	30068
146	5176	30035
147	5209	29991
148	5241	29935
